,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
24655,24656,USAID AIDVillageView,SR1-022,,0,KBL-SR1-022,0,Pashto,2,2346.770996,34.3273,69.61,KBL,SR1,Shinwar,113,Surobi,?????,Kabul,????,1
24656,24657,USAID AIDVillageView,SR1-026,,0,KBL-SR1-026,0,Pashto,2,2649.121094,34.2868,69.5645,KBL,SR1,Spina Tizha,113,Surobi,?????,Kabul,????,1
24657,24658,CSO AIMS Villages (ACSOR),SR1-032,,0,KBL-SR1-032,59,Pashto,2,2070.5830079999996,34.36518,69.61204000000001,KBL,SR1,Hangaran (1),113,Surobi,?????,Kabul,????,1
24658,24659,USAID AIDVillageView,SR1-002,,0,KBL-SR1-002,0,Pashto,2,2093.657959,34.3624,69.6149,KBL,SR1,Ahangaran,113,Surobi,?????,Kabul,????,1
24659,24660,USAID AIDVillageView,SR1-004,,0,KBL-SR1-004,0,Pashto,2,2543.618896,34.3139,69.6065,KBL,SR1,Capari,113,Surobi,?????,Kabul,????,1
24660,24661,USAID AIDVillageView,SR1-007,,0,KBL-SR1-007,0,Pashto,2,2532.583984,34.3001,69.5728,KBL,SR1,Janda,113,Surobi,?????,Kabul,????,1
24661,24662,USAID AIDVillageView,SR1-009,,0,KBL-SR1-009,0,Pashto,2,2638.635986,34.3088,69.6011,KBL,SR1,Kami Khel,113,Surobi,?????,Kabul,????,1
24662,24663,USAID AIDVillageView,SR1-011,,0,KBL-SR1-011,0,Pashto,2,2426.8439940000003,34.3228,69.6097,KBL,SR1,Khomar,113,Surobi,?????,Kabul,????,1
24666,24667,Yale POP_MASTER,SR1-102,,0,KBL-SR1-102,137,Pashto,2,2219.831055,34.3545,69.6232,KBL,SR1,Jadobi,113,Surobi,?????,Kabul,????,1
24667,24668,Yale POP_MASTER,SR1-148,,0,KBL-SR1-148,421,Pashto,2,2217.842041,34.353,69.6157,KBL,SR1,Qala Khanan,113,Surobi,?????,Kabul,????,1
24668,24669,Yale POP_MASTER,SR1-153,,0,KBL-SR1-153,54,Pashto,2,2038.285034,34.3758,69.6084,KBL,SR1,Sahak Mullah Khail,113,Surobi,?????,Kabul,????,1
