OBJECTID,POPULATION,LANG_CODE,LAT_Y,LON_X,DIST_CODE,PROV_CODE,AFG_UID
31,733,2,32.0893,66.79675,2401,24,ZBL-QLT-156
32,1029,2,32.11301,66.90993,2401,24,ZBL-QLT-150
34,162,2,32.10196,66.91079,2401,24,ZBL-QLT-153
1376,180,2,33.18105,69.83337,2607,26,KST-GRB-059
1377,249,2,33.13089,69.83012,2607,26,KST-GRB-060
1378,472,2,33.1534,69.82811,2607,26,KST-GRB-062
1379,360,2,33.18155,69.82816,2607,26,KST-GRB-063
1380,1109,2,33.10952,69.85,2607,26,KST-GRB-064
1381,113,2,33.15309,69.84053,2607,26,KST-GRB-061
1383,62,2,33.22167,69.83201,2606,26,KST-TNI-139
1388,1024,2,33.2419,69.882,2607,26,KST-GRB-039
1389,304,2,33.2655,69.8411,2606,26,KST-TNI-035
1390,201,2,33.1625,69.7261,2606,26,KST-TNI-083
1391,466,2,33.2749,69.8415,2606,26,KST-TNI-034
1392,532,2,33.2681,69.8417,2606,26,KST-TNI-100
1393,13,2,33.2101,69.7639,2606,26,KST-TNI-029
1394,323,2,33.2627,69.8416,2606,26,KST-TNI-031
1395,631,2,33.1961,69.7527,2606,26,KST-TNI-053
1396,144,2,33.163,69.7341,2606,26,KST-TNI-052
1397,277,2,33.2235,69.7695,2606,26,KST-TNI-086
1398,1248,2,33.161,69.7623,2606,26,KST-TNI-098
1399,311,2,33.1512,69.8008,2606,26,KST-TNI-132
1400,23,2,33.208,69.7924,2606,26,KST-TNI-107
1401,428,2,33.2653,69.7972,2606,26,KST-TNI-073
3166,86,9,31.5281,67.4722,2410,24,ZBL-SMZ-081
3167,136,9,31.5653,67.4374,2410,24,ZBL-SMZ-091
3168,546,9,31.556,67.6094,2410,24,ZBL-SMZ-097
3169,60,9,31.6482,67.5801,2410,24,ZBL-SMZ-099
3170,387,9,31.5877,67.5431,2410,24,ZBL-SMZ-113
3171,191,9,31.6364,67.4571,2410,24,ZBL-SMZ-116
3172,35,9,31.6095,67.5875,2410,24,ZBL-SMZ-140
3173,162,9,31.5863,67.4523,2410,24,ZBL-SMZ-154
3174,64,9,31.5372,67.4568,2410,24,ZBL-SMZ-160
3175,131,9,31.5603,67.5712,2410,24,ZBL-SMZ-198
3176,42,9,31.5133,67.5197,2410,24,ZBL-SMZ-217
3177,46,2,31.6475,67.5389,2410,24,ZBL-SMZ-219
3178,142,9,31.5878,67.6367,2410,24,ZBL-SMZ-222
3179,57,9,31.6486,67.5612,2410,24,ZBL-SMZ-244
3180,37,9,31.6201,67.4737,2410,24,ZBL-SMZ-264
3181,51,9,31.6562,67.5458,2410,24,ZBL-SMZ-267
3182,46,9,31.5919,67.4602,2410,24,ZBL-SMZ-268
3183,130,9,31.6107,67.4554,2410,24,ZBL-SMZ-275
3184,22,9,31.6603,67.5299,2409,24,ZBL-ATR-027
3185,198,2,31.6517,67.5168,2409,24,ZBL-ATR-057
3186,49,9,31.646,67.4516,2409,24,ZBL-ATR-036
3187,226,9,31.6463,67.4178,2409,24,ZBL-ATR-040
3192,181,9,31.9864,67.1333,2405,24,ZBL-SNK-060
3199,293,9,31.6851,67.8357,2410,24,ZBL-SMZ-086
3200,194,9,31.7007,67.8588,2410,24,ZBL-SMZ-093
3201,39,9,31.5695,67.7653,2410,24,ZBL-SMZ-094
3202,125,9,31.7993,67.9946,2410,24,ZBL-SMZ-106
3203,386,9,31.6612,67.6838,2410,24,ZBL-SMZ-107
3204,266,9,31.6499,67.7331,2410,24,ZBL-SMZ-114
3205,64,9,31.6886,67.707,2410,24,ZBL-SMZ-115
3206,156,9,31.7417,67.9936,2410,24,ZBL-SMZ-117
3207,65,9,31.5566,67.6758,2410,24,ZBL-SMZ-121
3208,219,9,31.6653,67.8451,2410,24,ZBL-SMZ-127
3209,80,9,31.7089,67.8173,2410,24,ZBL-SMZ-128
3210,223,9,31.7044,67.8891,2410,24,ZBL-SMZ-129
3211,58,9,31.7072,67.8414,2410,24,ZBL-SMZ-131
3212,391,9,31.685,67.9454,2410,24,ZBL-SMZ-132
3213,77,9,31.7272,67.9743,2410,24,ZBL-SMZ-142
3214,152,9,31.6833,67.7193,2410,24,ZBL-SMZ-159
3215,220,9,31.664,67.8563,2410,24,ZBL-SMZ-167
3216,236,9,31.7302,67.874,2410,24,ZBL-SMZ-218
3217,90,9,31.6827,67.8864,2410,24,ZBL-SMZ-226
3218,125,9,31.6517,67.9717,2410,24,ZBL-SMZ-229
3219,201,9,31.5476,67.6672,2410,24,ZBL-SMZ-242
3220,34,9,31.7175,67.873,2410,24,ZBL-SMZ-248
3221,175,9,31.6751,67.817,2410,24,ZBL-SMZ-272
3222,32,9,31.6732,67.8481,2410,24,ZBL-SMZ-276
3223,56,9,31.6411,67.7772,2410,24,ZBL-SMZ-282
3230,202,9,32.00602,67.06922,2405,24,ZBL-SNK-033
3237,94,9,31.9776,67.0469,2405,24,ZBL-SNK-037
3238,196,9,32.0079,67.0113,2405,24,ZBL-SNK-040
3239,138,9,32.0007,67.0688,2405,24,ZBL-SNK-041
3240,78,9,31.9068,67.0064,2405,24,ZBL-SNK-044
3241,305,9,32.0255,67.1099,2405,24,ZBL-SNK-045
3242,139,9,32.0108,67.0845,2405,24,ZBL-SNK-046
3243,129,9,31.8826,66.8353,2405,24,ZBL-SNK-047
3244,184,9,31.8657,66.8753,2405,24,ZBL-SNK-048
3245,103,9,31.9858,67.0518,2405,24,ZBL-SNK-050
3246,151,9,31.897,66.9455,2405,24,ZBL-SNK-051
3247,225,9,31.972,67.0337,2405,24,ZBL-SNK-052
3248,155,9,31.9238,66.8812,2405,24,ZBL-SNK-056
3249,277,9,31.8456,66.8162,2405,24,ZBL-SNK-057
3250,116,9,32.0024,67.0364,2405,24,ZBL-SNK-059
3251,181,9,31.976,67.1195,2405,24,ZBL-SNK-061
3252,268,9,31.9177,66.8978,2405,24,ZBL-SNK-063
3253,384,9,31.973,66.8838,2405,24,ZBL-SNK-065
3254,298,9,32.0173,67.0259,2405,24,ZBL-SNK-068
3255,206,9,32.0228,67.0917,2405,24,ZBL-SNK-069
3256,108,9,31.9305,67.0633,2405,24,ZBL-SNK-072
3257,236,9,31.9932,67.0489,2405,24,ZBL-SNK-073
3258,178,9,31.9674,67.117,2405,24,ZBL-SNK-075
3259,171,9,31.9596,67.1013,2405,24,ZBL-SNK-076
3260,119,9,31.9452,66.9782,2405,24,ZBL-SNK-078
3261,200,9,31.9642,67.1091,2405,24,ZBL-SNK-079
3262,136,9,32.0111,67.0483,2405,24,ZBL-SNK-080
3263,270,9,32.0289,67.0185,2405,24,ZBL-SNK-081
3264,317,9,32.0173,67.0583,2405,24,ZBL-SNK-082
3265,121,9,31.8942,66.9563,2405,24,ZBL-SNK-083
3266,166,9,31.8202,66.8823,2405,24,ZBL-SNK-084
3267,119,9,31.9199,67.0258,2405,24,ZBL-SNK-086
3268,141,9,32.0034,67.0979,2405,24,ZBL-SNK-087
3269,188,9,31.879,66.8133,2405,24,ZBL-SNK-088
3270,124,9,31.9777,66.9987,2405,24,ZBL-SNK-091
3271,342,9,32.0163,67.0901,2405,24,ZBL-SNK-092
3272,158,9,32.0138,67.1124,2405,24,ZBL-SNK-093
3273,86,9,31.9466,67.0635,2405,24,ZBL-SNK-095
3274,220,9,31.856,66.8129,2405,24,ZBL-SNK-096
3275,69,9,31.9085,67.0333,2405,24,ZBL-SNK-097
3276,213,9,31.8048,66.8164,2405,24,ZBL-SNK-098
3277,241,9,31.901,66.9724,2405,24,ZBL-SNK-100
3278,298,9,31.8608,66.7944,2405,24,ZBL-SNK-102
3279,249,9,31.9752,67.042,2405,24,ZBL-SNK-104
3280,238,9,31.9579,66.8888,2405,24,ZBL-SNK-106
3281,145,9,31.921,66.9057,2405,24,ZBL-SNK-108
