,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
23,24,USAID AIDVillageView,KHU-044,,0,GZN-KHU-044,0,Dari,1,2526.574951,33.6521,68.3153,GZN,KHU,Salam Khel,1102,Khwajaumari,????? ????,Ghazni,????,11
25,26,CSO AIMS Villages (ACSOR),GAZ-098,,0,GZN-GAZ-098,1135,Dari,1,2175.706055,33.53687,68.41526999999999,GZN,GAZ,Qala Now Sar Raig (2),1101,Ghazni,????,Ghazni,????,11
30,31,USAID AIDVillageView,AND-274,,0,GZN-AND-274,0,Pashto,2,2073.7270510000003,33.3189,68.4946,GZN,AND,La'liwal,1105,Andar,????,Ghazni,????,11
392,393,CSO and AIMS Villages,JAG-096,,0,GZN-JAG-096,397,Dari,1,2945.052002,32.99475,67.486,GZN,JAG,Sar Ab (3),1113,Jaghuri,??????,Ghazni,????,11
393,394,CSO and AIMS Villages,JAG-097,,0,GZN-JAG-097,54,Dari,1,3139.717041,33.13637,67.27916,GZN,JAG,Sar Qoul (1),1113,Jaghuri,??????,Ghazni,????,11
394,395,CSO and AIMS Villages,JAG-098,,0,GZN-JAG-098,296,Dari,1,2806.288086,33.03098,67.55478000000001,GZN,JAG,Sar Qoul (2),1113,Jaghuri,??????,Ghazni,????,11
395,396,CSO and AIMS Villages,JAG-099,,0,GZN-JAG-099,345,Dari,1,2683.500977,33.0873,67.33736999999999,GZN,JAG,Sar Qoul (3),1113,Jaghuri,??????,Ghazni,????,11
396,397,CSO and AIMS Villages,JAG-100,,0,GZN-JAG-100,138,Dari,1,2864.030029,33.07074,67.59108,GZN,JAG,Sar Tala (1),1113,Jaghuri,??????,Ghazni,????,11
397,398,CSO and AIMS Villages,JAG-101,,0,GZN-JAG-101,181,Dari,1,3155.856934,33.1912,67.40082,GZN,JAG,Sar Tala (2),1113,Jaghuri,??????,Ghazni,????,11
398,399,CSO and AIMS Villages,JAG-102,,0,GZN-JAG-102,319,Dari,1,3020.7109379999997,33.25222,67.67719,GZN,JAG,Sar Tala (3),1113,Jaghuri,??????,Ghazni,????,11
399,400,CSO and AIMS Villages,JAG-103,,0,GZN-JAG-103,575,Dari,1,2749.0161129999997,33.02977,67.50497,GZN,JAG,Sar Tala (4),1113,Jaghuri,??????,Ghazni,????,11
400,401,CSO and AIMS Villages,JAG-104,,0,GZN-JAG-104,500,Dari,1,2547.3520510000003,33.27812,67.46616999999999,GZN,JAG,Sar Tala (5),1113,Jaghuri,??????,Ghazni,????,11
401,402,CSO and AIMS Villages,JAG-105,,0,GZN-JAG-105,141,Dari,1,2870.343018,33.0561,67.59328000000001,GZN,JAG,Sarab,1113,Jaghuri,??????,Ghazni,????,11
402,403,CSO and AIMS Villages,JAG-106,,0,GZN-JAG-106,55,Dari,1,2915.645996,33.22279,67.30819,GZN,JAG,Seya Sang (1),1113,Jaghuri,??????,Ghazni,????,11
403,404,CSO and AIMS Villages,JAG-107,,0,GZN-JAG-107,63,Dari,1,2890.666016,33.268809999999995,67.60394000000001,GZN,JAG,Seya Sang (2),1113,Jaghuri,??????,Ghazni,????,11
