,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
11022,11023,USAID AIDVillageView,SEP-011,,0,SRP-SEP-011,0,Dari,1,610.270874,36.5172,66.3673,SRP,SEP,Chakab (1),2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11023,11024,USAID AIDVillageView,SEP-012,,0,SRP-SEP-012,0,Dari,1,561.246521,36.5206,66.3526,SRP,SEP,Chakab,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11024,11025,USAID AIDVillageView,SEP-014,,0,SRP-SEP-014,0,Dari,1,603.0980835,36.4834,66.3165,SRP,SEP,Chapdera,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11025,11026,USAID AIDVillageView,SEP-018,,0,SRP-SEP-018,0,Dari,1,558.6781006,36.4944,66.3613,SRP,SEP,Chighzar,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11026,11027,USAID AIDVillageView,SEP-019,,0,SRP-SEP-019,0,Dari,1,536.4445801,36.5022,66.3403,SRP,SEP,Chil Kapa,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11027,11028,USAID AIDVillageView,SEP-026,,0,SRP-SEP-026,0,Dari,1,680.0604857999999,36.5206,66.3829,SRP,SEP,Haft Mazar,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11028,11029,USAID AIDVillageView,SEP-031,,0,SRP-SEP-031,0,Dari,1,788.1317138999999,36.5356,66.3922,SRP,SEP,Jari Say,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11029,11030,USAID AIDVillageView,SEP-036,,0,SRP-SEP-036,0,Dari,1,570.6730957000001,36.4878,66.3492,SRP,SEP,Khuknul,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11030,11031,USAID AIDVillageView,SEP-046,,0,SRP-SEP-046,0,Dari,1,694.8677978999999,36.472,66.331,SRP,SEP,Malik Said Alam (chonba-i-taimorak),2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11031,11032,USAID AIDVillageView,SEP-054,,0,SRP-SEP-054,0,Dari,1,735.5504761,36.5315,66.413,SRP,SEP,Qarawul (2),2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11032,11033,USAID AIDVillageView,SEP-055,,0,SRP-SEP-055,0,Dari,1,781.2105713,36.5206,66.4112,SRP,SEP,Qarawul (1),2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11033,11034,USAID AIDVillageView,SEP-057,,0,SRP-SEP-057,0,Dari,1,669.1685181,36.5078,66.3876,SRP,SEP,Qizil Kotal,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11151,11152,USAID AIDVillageView,SEP-062,,0,SRP-SEP-062,0,Dari,1,585.4605713,36.486,66.3027,SRP,SEP,Shahid,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11152,11153,USAID AIDVillageView,SEP-070,,0,SRP-SEP-070,0,Dari,1,541.4541016,36.4903,66.2842,SRP,SEP,Torli,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
11159,11160,Yale POP_MASTER,SEP-224,,0,SRP-SEP-224,300,Dari,1,570.7581787,36.5043,66.3527,SRP,SEP,Temoriya Shakar Qoul,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20051,20052,USAID AIDVillageView,SEP-004,,0,SRP-SEP-004,0,Pashto,2,515.5333862,36.3489,65.8784,SRP,SEP,Aj Tepa,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20052,20053,USAID AIDVillageView,SEP-007,,0,SRP-SEP-007,0,Pashto,2,518.1793213000001,36.3506,65.895,SRP,SEP,Bamaga,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20053,20054,USAID AIDVillageView,SEP-028,,0,SRP-SEP-028,0,Pashto,2,473.2333984,36.4318,65.8353,SRP,SEP,Imam Sahib,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20054,20055,USAID AIDVillageView,SEP-030,,0,SRP-SEP-030,0,Pashto,2,577.9163208,36.4556,65.9273,SRP,SEP,Jar Quduq,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20055,20056,USAID AIDVillageView,SEP-050,,0,SRP-SEP-050,0,Pashto,2,497.2817078,36.3916,65.8605,SRP,SEP,Naman Zai,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20056,20057,USAID AIDVillageView,SEP-051,,0,SRP-SEP-051,0,Pashto,2,515.5333862,36.3494,65.8783,SRP,SEP,Oj Tepa,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20057,20058,USAID AIDVillageView,SEP-060,,0,SRP-SEP-060,0,Pashto,2,486.8731995,36.38,65.8525,SRP,SEP,Sayyedabad,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20058,20059,USAID AIDVillageView,SEP-064,,0,SRP-SEP-064,0,Pashto,2,509.36828610000003,36.3871,65.8663,SRP,SEP,Shigai,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20059,20060,USAID AIDVillageView,SEP-071,,0,SRP-SEP-071,0,Pashto,2,479.3908997,36.3995,65.8296,SRP,SEP,Zaka (1),2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20060,20061,USAID AIDVillageView,SEP-072,,0,SRP-SEP-072,0,Pashto,2,478.7514038,36.4134,65.8161,SRP,SEP,Zaka (2),2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20061,20062,CSO AIMS Villages (ACSOR),SEP-074,,0,SRP-SEP-074,422,Pashto,2,490.51818849999995,36.39546,65.72778000000001,SRP,SEP,Dara Band,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20062,20063,CSO AIMS Villages (ACSOR),SEP-076,,0,SRP-SEP-076,558,Pashto,2,528.09198,36.38961,65.74316999999999,SRP,SEP,Gula Jar,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20063,20064,CSO AIMS Villages (ACSOR),SEP-077,,0,SRP-SEP-077,286,Pashto,2,473.21289060000004,36.421209999999995,65.74653,SRP,SEP,Kala Jar Sai Haji,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
20064,20065,CSO AIMS Villages (ACSOR),SEP-079,,0,SRP-SEP-079,75,Pashto,2,445.58358760000004,36.450590000000005,65.81071999999999,SRP,SEP,Mohammad Afzal Khan,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
