,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
25049,25050,Yale POP_MASTER,MTM-198,,0,LGM-MTM-198,205,Pashai,6,1049.474976,34.7327,70.1623,LGM,MTM,Tangi Badrow,701,Mehtarlam,???? ???,Laghman,?????,7
25050,25051,Yale POP_MASTER,QGI-151,,0,LGM-QGI-151,88,Pashai,6,2020.875,34.6416,70.4097,LGM,QGI,Walkank,703,Qarghayi,???? ??,Laghman,?????,7
25051,25052,Yale POP_MASTER,ALR-055,,0,LGM-ALR-055,678,Pashai,6,1953.875,34.6692,70.3918,LGM,ALR,Koz Kahomar Khabi,704,Alingar,???????,Laghman,?????,7
25052,25053,USAID AIDVillageView,QGI-005,,0,LGM-QGI-005,0,Pashai,6,1292.42395,34.6403,70.4801,LGM,QGI,Lontawrak,703,Qarghayi,???? ??,Laghman,?????,7
25053,25054,CSO AIMS Villages (ACSOR),ALR-010,,0,LGM-ALR-010,616,Pashai,6,1824.744995,34.72056,70.47093,LGM,ALR,Kundalam,704,Alingar,???????,Laghman,?????,7
25059,25060,Yale POP_MASTER,QGI-035,,0,LGM-QGI-035,59,Pashai,6,1481.031982,34.6477,70.4368,LGM,QGI,Bala Kacha,703,Qarghayi,???? ??,Laghman,?????,7
25060,25061,Yale POP_MASTER,QGI-041,,0,LGM-QGI-041,381,Pashai,6,1831.243042,34.6672,70.4817,LGM,QGI,Bar Kashmon,703,Qarghayi,???? ??,Laghman,?????,7
25061,25062,Yale POP_MASTER,QGI-045,,0,LGM-QGI-045,196,Pashai,6,1223.285034,34.6438,70.4595,LGM,QGI,Chanar,703,Qarghayi,???? ??,Laghman,?????,7
25062,25063,Yale POP_MASTER,QGI-058,,0,LGM-QGI-058,133,Pashai,6,1588.291992,34.6397,70.5044,LGM,QGI,Gala Kunda,703,Qarghayi,???? ??,Laghman,?????,7
25063,25064,Yale POP_MASTER,QGI-066,,0,LGM-QGI-066,53,Pashai,6,1005.960999,34.6246,70.4531,LGM,QGI,Gundak,703,Qarghayi,???? ??,Laghman,?????,7
25064,25065,Yale POP_MASTER,QGI-071,,0,LGM-QGI-071,33,Pashai,6,1286.746948,34.6328,70.4358,LGM,QGI,Hazara Banda,703,Qarghayi,???? ??,Laghman,?????,7
25065,25066,Yale POP_MASTER,QGI-090,,0,LGM-QGI-090,63,Dari,1,1654.081055,34.6447,70.4962,LGM,QGI,Lontorak,703,Qarghayi,???? ??,Laghman,?????,7
25066,25067,Yale POP_MASTER,QGI-101,,0,LGM-QGI-101,42,Pashai,6,1393.892944,34.643,70.436,LGM,QGI,Mohabat Banda,703,Qarghayi,???? ??,Laghman,?????,7
25067,25068,Yale POP_MASTER,QGI-102,,0,LGM-QGI-102,111,Pashai,6,1740.63501,34.6598,70.4442,LGM,QGI,Mohammad Amin Banda,703,Qarghayi,???? ??,Laghman,?????,7
25068,25069,Yale POP_MASTER,QGI-106,,0,LGM-QGI-106,45,Pashai,6,1471.199951,34.656,70.467,LGM,QGI,Najolak,703,Qarghayi,???? ??,Laghman,?????,7
25069,25070,Yale POP_MASTER,QGI-141,,0,LGM-QGI-141,122,Pashai,6,1527.077026,34.6531,70.4523,LGM,QGI,Shadi Bagh,703,Qarghayi,???? ??,Laghman,?????,7
25070,25071,Yale POP_MASTER,QGI-153,,0,LGM-QGI-153,51,Pashai,6,1615.746948,34.6481,70.4237,LGM,QGI,Wastagak,703,Qarghayi,???? ??,Laghman,?????,7
25071,25072,Yale POP_MASTER,ALR-034,,0,LGM-ALR-034,474,Pashai,6,1728.517944,34.7202,70.4635,LGM,ALR,Gorjen,704,Alingar,???????,Laghman,?????,7
25072,25073,Yale POP_MASTER,ALR-049,,0,LGM-ALR-049,917,Pashai,6,1846.536987,34.7168,70.4654,LGM,ALR,Khorak,704,Alingar,???????,Laghman,?????,7
25073,25074,Yale POP_MASTER,ALR-075,,0,LGM-ALR-075,859,Pashai,6,1881.067017,34.7152,70.4711,LGM,ALR,Parj,704,Alingar,???????,Laghman,?????,7
25120,25121,USAID AIDVillageView,QGI-015,,0,LGM-QGI-015,0,Pashai,6,782.1392212,34.5921,70.4485,LGM,QGI,Shinzai,703,Qarghayi,???? ??,Laghman,?????,7
25121,25122,Yale POP_MASTER,QGI-056,,0,LGM-QGI-056,118,Pashai,6,812.3549805,34.6077,70.4625,LGM,QGI,Dogar,703,Qarghayi,???? ??,Laghman,?????,7
25122,25123,Yale POP_MASTER,QGI-111,,0,LGM-QGI-111,598,Pashai,6,928.5394897,34.6187,70.4505,LGM,QGI,Omara Khan Kalay,703,Qarghayi,???? ??,Laghman,?????,7
25124,25125,Yale POP_MASTER,ALG-124,,0,LGM-ALG-124,363,Pashai,6,1208.088013,34.8551,70.109,LGM,ALG,Shamsha Khail,702,Alishang,??????,Laghman,?????,7
25125,25126,Yale POP_MASTER,ALG-138,,0,LGM-ALG-138,708,Pashai,6,1182.57605,34.8403,70.0989,LGM,ALG,Watan Gato,702,Alishang,??????,Laghman,?????,7
25126,25127,Yale POP_MASTER,ALG-063,,0,LGM-ALG-063,205,Pashai,6,1609.753052,34.8183,70.0187,LGM,ALG,Khando,702,Alishang,??????,Laghman,?????,7
25127,25128,Yale POP_MASTER,ALG-064,,0,LGM-ALG-064,66,Pashai,6,1651.14502,34.8216,70.0207,LGM,ALG,Khord Nagal,702,Alishang,??????,Laghman,?????,7
25128,25129,Yale POP_MASTER,ALG-066,,0,LGM-ALG-066,248,Pashto,2,1116.977051,34.8167,70.1007,LGM,ALG,Kohnna Ghazi Abad,702,Alishang,??????,Laghman,?????,7
25129,25130,Yale POP_MASTER,ALG-072,,0,LGM-ALG-072,485,Pashai,6,1384.60498,34.7877,70.0352,LGM,ALG,Lashte Bel,702,Alishang,??????,Laghman,?????,7
