ampl.tab 2 1
Settlements	AppealsCourts	A
1931	0	0
1931	1	0
1931	2	0
1931	3	0
1931	4	0
1931	5	0
1931	6	0
1931	7	0
1931	8	0
1931	9	0
1931	10	0
1931	11	0
1931	12	0
1931	13	0
1931	14	0
1931	15	0
1931	16	0
1931	17	0
1931	18	0
1931	19	0
1931	20	0
1931	21	0
1931	22	0
1931	23	0
1931	24	0
1931	25	0
1931	26	0
1931	27	0
1931	28	0
1931	29	0
1931	30	0
1931	31	0
1931	32	1
1931	33	0
1931	34	0
4187	0	0
4187	1	0
4187	2	0
4187	3	0
4187	4	0
4187	5	0
4187	6	0
4187	7	0
4187	8	0
4187	9	0
4187	10	0
4187	11	0
4187	12	0
4187	13	0
4187	14	0
4187	15	0
4187	16	0
4187	17	0
4187	18	0
4187	19	0
4187	20	0
4187	21	0
4187	22	0
4187	23	0
4187	24	0
4187	25	0
4187	26	0
4187	27	0
4187	28	0
4187	29	0
4187	30	1
4187	31	0
4187	32	0
4187	33	0
4187	34	0
5344	0	0
5344	1	0
5344	2	0
5344	3	0
5344	4	0
5344	5	0
5344	6	0
5344	7	0
5344	8	0
5344	9	0
5344	10	0
5344	11	0
5344	12	0
5344	13	0
5344	14	0
5344	15	0
5344	16	0
5344	17	0
5344	18	0
5344	19	0
5344	20	0
5344	21	0
5344	22	0
5344	23	0
5344	24	0
5344	25	0
5344	26	0
5344	27	0
5344	28	0
5344	29	0
5344	30	0
5344	31	0
5344	32	1
5344	33	0
5344	34	0
5358	0	0
5358	1	0
5358	2	0
5358	3	0
5358	4	0
5358	5	0
5358	6	0
5358	7	0
5358	8	0
5358	9	0
5358	10	0
5358	11	0
5358	12	0
5358	13	0
5358	14	0
5358	15	0
5358	16	0
5358	17	0
5358	18	0
5358	19	0
5358	20	0
5358	21	0
5358	22	0
5358	23	0
5358	24	0
5358	25	0
5358	26	0
5358	27	0
5358	28	0
5358	29	0
5358	30	0
5358	31	0
5358	32	1
5358	33	0
5358	34	0
6125	0	0
6125	1	0
6125	2	0
6125	3	0
6125	4	0
6125	5	0
6125	6	0
6125	7	0
6125	8	0
6125	9	0
6125	10	0
6125	11	0
6125	12	0
6125	13	0
6125	14	0
6125	15	0
6125	16	0
6125	17	0
6125	18	0
6125	19	0
6125	20	0
6125	21	0
6125	22	0
6125	23	0
6125	24	0
6125	25	0
6125	26	0
6125	27	0
6125	28	0
6125	29	0
6125	30	0
6125	31	0
6125	32	0
6125	33	1
6125	34	0
6993	0	0
6993	1	0
6993	2	0
6993	3	0
6993	4	0
6993	5	0
6993	6	0
6993	7	0
6993	8	0
6993	9	0
6993	10	0
6993	11	0
6993	12	0
6993	13	0
6993	14	0
6993	15	0
6993	16	0
6993	17	0
6993	18	0
6993	19	0
6993	20	0
6993	21	0
6993	22	0
6993	23	0
6993	24	0
6993	25	0
6993	26	0
6993	27	0
6993	28	0
6993	29	0
6993	30	1
6993	31	0
6993	32	0
6993	33	0
6993	34	0
7386	0	0
7386	1	0
7386	2	0
7386	3	0
7386	4	0
7386	5	0
7386	6	0
7386	7	0
7386	8	0
7386	9	0
7386	10	0
7386	11	0
7386	12	0
7386	13	0
7386	14	0
7386	15	0
7386	16	0
7386	17	0
7386	18	0
7386	19	0
7386	20	0
7386	21	0
7386	22	0
7386	23	0
7386	24	0
7386	25	0
7386	26	0
7386	27	0
7386	28	0
7386	29	0
7386	30	0
7386	31	0
7386	32	0
7386	33	1
7386	34	0
7837	0	0
7837	1	0
7837	2	0
7837	3	0
7837	4	0
7837	5	0
7837	6	0
7837	7	0
7837	8	0
7837	9	0
7837	10	0
7837	11	0
7837	12	0
7837	13	0
7837	14	0
7837	15	0
7837	16	0
7837	17	0
7837	18	0
7837	19	0
7837	20	0
7837	21	0
7837	22	0
7837	23	0
7837	24	0
7837	25	0
7837	26	0
7837	27	0
7837	28	0
7837	29	0
7837	30	0
7837	31	0
7837	32	0
7837	33	1
7837	34	0
9181	0	0
9181	1	0
9181	2	0
9181	3	0
9181	4	0
9181	5	0
9181	6	0
9181	7	0
9181	8	0
9181	9	0
9181	10	0
9181	11	0
9181	12	0
9181	13	0
9181	14	0
9181	15	0
9181	16	0
9181	17	0
9181	18	0
9181	19	0
9181	20	0
9181	21	0
9181	22	0
9181	23	0
9181	24	0
9181	25	0
9181	26	0
9181	27	0
9181	28	0
9181	29	0
9181	30	0
9181	31	0
9181	32	0
9181	33	1
9181	34	0
10123	0	0
10123	1	0
10123	2	0
10123	3	0
10123	4	0
10123	5	0
10123	6	0
10123	7	0
10123	8	0
10123	9	0
10123	10	0
10123	11	0
10123	12	0
10123	13	0
10123	14	0
10123	15	0
10123	16	0
10123	17	0
10123	18	0
10123	19	0
10123	20	0
10123	21	0
10123	22	0
10123	23	0
10123	24	0
10123	25	0
10123	26	0
10123	27	1
10123	28	0
10123	29	0
10123	30	0
10123	31	0
10123	32	0
10123	33	0
10123	34	0
10206	0	0
10206	1	0
10206	2	0
10206	3	0
10206	4	0
10206	5	0
10206	6	0
10206	7	0
10206	8	0
10206	9	0
10206	10	0
10206	11	0
10206	12	0
10206	13	0
10206	14	0
10206	15	0
10206	16	0
10206	17	0
10206	18	0
10206	19	0
10206	20	0
10206	21	0
10206	22	0
10206	23	0
10206	24	0
10206	25	0
10206	26	0
10206	27	1
10206	28	0
10206	29	0
10206	30	0
10206	31	0
10206	32	0
10206	33	0
10206	34	0
10406	0	0
10406	1	0
10406	2	0
10406	3	0
10406	4	0
10406	5	0
10406	6	0
10406	7	0
10406	8	0
10406	9	0
10406	10	0
10406	11	0
10406	12	0
10406	13	0
10406	14	0
10406	15	0
10406	16	0
10406	17	0
10406	18	0
10406	19	0
10406	20	0
10406	21	0
10406	22	0
10406	23	0
10406	24	0
10406	25	0
10406	26	0
10406	27	1
10406	28	0
10406	29	0
10406	30	0
10406	31	0
10406	32	0
10406	33	0
10406	34	0
10766	0	0
10766	1	0
10766	2	0
10766	3	0
10766	4	0
10766	5	0
10766	6	0
10766	7	0
10766	8	0
10766	9	0
10766	10	0
10766	11	0
10766	12	0
10766	13	0
10766	14	0
10766	15	0
10766	16	0
10766	17	0
10766	18	0
10766	19	0
10766	20	0
10766	21	0
10766	22	0
10766	23	0
10766	24	0
10766	25	0
10766	26	0
10766	27	0
10766	28	1
10766	29	0
10766	30	0
10766	31	0
10766	32	0
10766	33	0
10766	34	0
18454	0	0
18454	1	0
18454	2	0
18454	3	0
18454	4	0
18454	5	1
18454	6	0
18454	7	0
18454	8	0
18454	9	0
18454	10	0
18454	11	0
18454	12	0
18454	13	0
18454	14	0
18454	15	0
18454	16	0
18454	17	0
18454	18	0
18454	19	0
18454	20	0
18454	21	0
18454	22	0
18454	23	0
18454	24	0
18454	25	0
18454	26	0
18454	27	0
18454	28	0
18454	29	0
18454	30	0
18454	31	0
18454	32	0
18454	33	0
18454	34	0
20419	0	0
20419	1	0
20419	2	0
20419	3	0
20419	4	0
20419	5	0
20419	6	0
20419	7	0
20419	8	0
20419	9	0
20419	10	0
20419	11	0
20419	12	0
20419	13	0
20419	14	0
20419	15	0
20419	16	0
20419	17	0
20419	18	0
20419	19	0
20419	20	0
20419	21	0
20419	22	0
20419	23	0
20419	24	0
20419	25	0
20419	26	0
20419	27	0
20419	28	1
20419	29	0
20419	30	0
20419	31	0
20419	32	0
20419	33	0
20419	34	0
20650	0	0
20650	1	0
20650	2	0
20650	3	0
20650	4	0
20650	5	1
20650	6	0
20650	7	0
20650	8	0
20650	9	0
20650	10	0
20650	11	0
20650	12	0
20650	13	0
20650	14	0
20650	15	0
20650	16	0
20650	17	0
20650	18	0
20650	19	0
20650	20	0
20650	21	0
20650	22	0
20650	23	0
20650	24	0
20650	25	0
20650	26	0
20650	27	0
20650	28	0
20650	29	0
20650	30	0
20650	31	0
20650	32	0
20650	33	0
20650	34	0
21067	0	0
21067	1	0
21067	2	0
21067	3	0
21067	4	0
21067	5	0
21067	6	0
21067	7	0
