ampl.tab 2 1
DistrictCourts	AppealsCourts	C
0	0	1
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
0	10	0
0	11	0
0	12	0
0	13	0
0	14	0
0	15	0
0	16	0
0	17	0
0	18	0
0	19	0
0	20	0
0	21	0
0	22	0
0	23	0
0	24	0
0	25	0
0	26	0
0	27	0
0	28	0
0	29	0
0	30	0
0	31	0
0	32	0
0	33	0
0	34	0
101	0	0
101	1	0
101	2	0
101	3	0
101	4	0
101	5	0
101	6	0
101	7	0
101	8	1
101	9	0
101	10	0
101	11	0
101	12	0
101	13	0
101	14	0
101	15	0
101	16	0
101	17	0
101	18	0
101	19	0
101	20	0
101	21	0
101	22	0
101	23	0
101	24	0
101	25	0
101	26	0
101	27	0
101	28	0
101	29	0
101	30	0
101	31	0
101	32	0
101	33	0
101	34	0
102	0	0
102	1	0
102	2	0
102	3	0
102	4	0
102	5	0
102	6	0
102	7	0
102	8	0
102	9	0
102	10	0
102	11	0
102	12	1
102	13	0
102	14	0
102	15	0
102	16	0
102	17	0
102	18	0
102	19	0
102	20	0
102	21	0
102	22	0
102	23	0
102	24	0
102	25	0
102	26	0
102	27	0
102	28	0
102	29	0
102	30	0
102	31	0
102	32	0
102	33	0
102	34	0
103	0	0
103	1	1
103	2	0
103	3	0
103	4	0
103	5	0
103	6	0
103	7	0
103	8	0
103	9	0
103	10	0
103	11	0
103	12	0
103	13	0
103	14	0
103	15	0
103	16	0
103	17	0
103	18	0
103	19	0
103	20	0
103	21	0
103	22	0
103	23	0
103	24	0
103	25	0
103	26	0
103	27	0
103	28	0
103	29	0
103	30	0
103	31	0
103	32	0
103	33	0
103	34	0
104	0	0
104	1	0
104	2	1
104	3	0
104	4	0
104	5	0
104	6	0
104	7	0
104	8	0
104	9	0
104	10	0
104	11	0
104	12	0
104	13	0
104	14	0
104	15	0
104	16	0
104	17	0
104	18	0
104	19	0
104	20	0
104	21	0
104	22	0
104	23	0
104	24	0
104	25	0
104	26	0
104	27	0
104	28	0
104	29	0
104	30	0
104	31	0
104	32	0
104	33	0
104	34	0
105	0	0
105	1	0
105	2	1
105	3	0
105	4	0
105	5	0
105	6	0
105	7	0
105	8	0
105	9	0
105	10	0
105	11	0
105	12	0
105	13	0
105	14	0
105	15	0
105	16	0
105	17	0
105	18	0
105	19	0
105	20	0
105	21	0
105	22	0
105	23	0
105	24	0
105	25	0
105	26	0
105	27	0
105	28	0
105	29	0
105	30	0
105	31	0
105	32	0
105	33	0
105	34	0
106	0	0
106	1	0
106	2	1
106	3	0
106	4	0
106	5	0
106	6	0
106	7	0
106	8	0
106	9	0
106	10	0
106	11	0
106	12	0
106	13	0
106	14	0
106	15	0
106	16	0
106	17	0
106	18	0
106	19	0
106	20	0
106	21	0
106	22	0
106	23	0
106	24	0
106	25	0
106	26	0
106	27	0
106	28	0
106	29	0
106	30	0
106	31	0
106	32	0
106	33	0
106	34	0
107	0	0
107	1	0
107	2	0
107	3	0
107	4	0
107	5	0
107	6	0
107	7	0
107	8	1
107	9	0
107	10	0
107	11	0
107	12	0
107	13	0
107	14	0
107	15	0
107	16	0
107	17	0
107	18	0
107	19	0
107	20	0
107	21	0
107	22	0
107	23	0
107	24	0
107	25	0
107	26	0
107	27	0
107	28	0
107	29	0
107	30	0
107	31	0
107	32	0
107	33	0
107	34	0
108	0	0
108	1	0
108	2	0
108	3	0
108	4	1
108	5	0
108	6	0
108	7	0
108	8	0
108	9	0
108	10	0
108	11	0
108	12	0
108	13	0
108	14	0
108	15	0
108	16	0
108	17	0
108	18	0
108	19	0
108	20	0
108	21	0
108	22	0
108	23	0
108	24	0
108	25	0
108	26	0
108	27	0
108	28	0
108	29	0
108	30	0
108	31	0
108	32	0
108	33	0
108	34	0
109	0	0
109	1	0
109	2	0
109	3	1
109	4	0
109	5	0
109	6	0
109	7	0
109	8	0
109	9	0
109	10	0
109	11	0
109	12	0
109	13	0
109	14	0
109	15	0
109	16	0
109	17	0
109	18	0
109	19	0
109	20	0
109	21	0
109	22	0
109	23	0
109	24	0
109	25	0
109	26	0
109	27	0
109	28	0
109	29	0
109	30	0
109	31	0
109	32	0
109	33	0
109	34	0
110	0	0
110	1	0
110	2	0
110	3	0
110	4	0
110	5	1
110	6	0
110	7	0
110	8	0
110	9	0
110	10	0
110	11	0
110	12	0
110	13	0
110	14	0
110	15	0
110	16	0
110	17	0
110	18	0
110	19	0
110	20	0
110	21	0
110	22	0
110	23	0
110	24	0
110	25	0
110	26	0
110	27	0
110	28	0
110	29	0
110	30	0
110	31	0
110	32	0
110	33	0
110	34	0
111	0	0
111	1	0
111	2	0
111	3	0
111	4	0
111	5	0
111	6	0
111	7	0
111	8	0
111	9	0
111	10	0
111	11	0
111	12	1
111	13	0
111	14	0
111	15	0
111	16	0
111	17	0
111	18	0
111	19	0
111	20	0
111	21	0
111	22	0
111	23	0
111	24	0
111	25	0
111	26	0
111	27	0
111	28	0
111	29	0
111	30	0
111	31	0
111	32	0
111	33	0
111	34	0
112	0	0
112	1	0
112	2	1
112	3	0
112	4	0
112	5	0
112	6	0
112	7	0
112	8	0
112	9	0
112	10	0
112	11	0
112	12	0
112	13	0
112	14	0
112	15	0
112	16	0
112	17	0
112	18	0
112	19	0
112	20	0
112	21	0
112	22	0
112	23	0
112	24	0
112	25	0
112	26	0
112	27	0
112	28	0
112	29	0
112	30	0
112	31	0
112	32	0
112	33	0
112	34	0
113	0	0
113	1	0
113	2	1
113	3	0
113	4	0
113	5	0
113	6	0
113	7	0
113	8	0
113	9	0
113	10	0
113	11	0
113	12	0
113	13	0
113	14	0
113	15	0
113	16	0
113	17	0
113	18	0
113	19	0
113	20	0
113	21	0
113	22	0
113	23	0
113	24	0
113	25	0
113	26	0
113	27	0
113	28	0
113	29	0
113	30	0
113	31	0
113	32	0
113	33	0
113	34	0
114	0	0
114	1	0
114	2	0
114	3	0
114	4	1
114	5	0
114	6	0
114	7	0
114	8	0
114	9	0
114	10	0
114	11	0
114	12	0
114	13	0
114	14	0
114	15	0
114	16	0
114	17	0
114	18	0
114	19	0
114	20	0
114	21	0
114	22	0
114	23	0
114	24	0
114	25	0
114	26	0
114	27	0
114	28	0
114	29	0
114	30	0
114	31	0
114	32	0
114	33	0
114	34	0
115	0	0
115	1	0
115	2	0
115	3	0
115	4	0
115	5	0
115	6	0
115	7	0
115	8	0
115	9	0
115	10	0
115	11	0
115	12	1
115	13	0
115	14	0
115	15	0
115	16	0
115	17	0
115	18	0
115	19	0
115	20	0
115	21	0
115	22	0
115	23	0
115	24	0
115	25	0
115	26	0
115	27	0
115	28	0
115	29	0
115	30	0
115	31	0
115	32	0
115	33	0
115	34	0
201	0	0
201	1	0
201	2	0
201	3	0
201	4	0
201	5	0
201	6	1
201	7	0
201	8	0
201	9	0
201	10	0
201	11	0
201	12	0
201	13	0
201	14	0
201	15	0
201	16	0
201	17	0
201	18	0
201	19	0
201	20	0
201	21	0
201	22	0
201	23	0
201	24	0
201	25	0
201	26	0
201	27	0
201	28	0
201	29	0
201	30	0
201	31	0
201	32	0
201	33	0
201	34	0
202	0	0
202	1	0
202	2	0
202	3	0
202	4	0
202	5	0
202	6	1
202	7	0
202	8	0
202	9	0
202	10	0
202	11	0
202	12	0
202	13	0
202	14	0
202	15	0
202	16	0
202	17	0
202	18	0
202	19	0
202	20	0
202	21	0
202	22	0
202	23	0
202	24	0
202	25	0
202	26	0
202	27	0
202	28	0
202	29	0
202	30	0
202	31	0
202	32	0
202	33	0
202	34	0
203	0	0
203	1	0
203	2	0
203	3	0
203	4	0
203	5	0
203	6	1
203	7	0
203	8	0
203	9	0
203	10	0
203	11	0
203	12	0
203	13	0
203	14	0
203	15	0
203	16	0
203	17	0
203	18	0
203	19	0
203	20	0
203	21	0
203	22	0
203	23	0
203	24	0
203	25	0
203	26	0
203	27	0
203	28	0
203	29	0
203	30	0
203	31	0
203	32	0
203	33	0
203	34	0
204	0	0
204	1	0
204	2	1
204	3	0
204	4	0
204	5	0
204	6	0
204	7	0
204	8	0
204	9	0
204	10	0
204	11	0
204	12	0
204	13	0
204	14	0
204	15	0
204	16	0
204	17	0
204	18	0
204	19	0
204	20	0
204	21	0
204	22	0
204	23	0
204	24	0
204	25	0
204	26	0
204	27	0
204	28	0
204	29	0
204	30	0
204	31	0
204	32	0
204	33	0
204	34	0
205	0	0
205	1	0
205	2	0
205	3	0
205	4	0
205	5	0
205	6	1
205	7	0
205	8	0
205	9	0
205	10	0
205	11	0
205	12	0
205	13	0
205	14	0
205	15	0
205	16	0
205	17	0
205	18	0
205	19	0
205	20	0
205	21	0
205	22	0
205	23	0
205	24	0
205	25	0
205	26	0
205	27	0
205	28	0
205	29	0
205	30	0
205	31	0
205	32	0
205	33	0
205	34	0
206	0	0
206	1	0
206	2	0
206	3	0
206	4	0
206	5	0
206	6	1
206	7	0
206	8	0
206	9	0
206	10	0
206	11	0
206	12	0
206	13	0
206	14	0
206	15	0
206	16	0
206	17	0
206	18	0
206	19	0
206	20	0
206	21	0
206	22	0
206	23	0
206	24	0
206	25	0
206	26	0
206	27	0
206	28	0
206	29	0
206	30	0
206	31	0
206	32	0
206	33	0
206	34	0
207	0	0
207	1	0
207	2	1
207	3	0
207	4	0
207	5	0
207	6	0
207	7	0
207	8	0
207	9	0
207	10	0
207	11	0
207	12	0
207	13	0
207	14	0
207	15	0
207	16	0
207	17	0
207	18	0
207	19	0
207	20	0
207	21	0
207	22	0
207	23	0
207	24	0
207	25	0
207	26	0
207	27	0
207	28	0
207	29	0
207	30	0
207	31	0
207	32	0
207	33	0
207	34	0
301	0	0
301	1	0
301	2	0
301	3	0
301	4	1
301	5	0
301	6	0
301	7	0
301	8	0
301	9	0
301	10	0
301	11	0
301	12	0
301	13	0
301	14	0
301	15	0
301	16	0
301	17	0
301	18	0
301	19	0
301	20	0
301	21	0
301	22	0
301	23	0
301	24	0
301	25	0
301	26	0
301	27	0
301	28	0
301	29	0
301	30	0
301	31	0
301	32	0
301	33	0
301	34	0
302	0	0
302	1	0
302	2	0
302	3	0
302	4	0
302	5	0
302	6	0
302	7	0
302	8	0
302	9	1
302	10	0
302	11	0
302	12	0
302	13	0
302	14	0
302	15	0
302	16	0
302	17	0
302	18	0
302	19	0
302	20	0
302	21	0
302	22	0
302	23	0
302	24	0
302	25	0
302	26	0
302	27	0
302	28	0
302	29	0
302	30	0
302	31	0
302	32	0
302	33	0
302	34	0
303	0	0
303	1	0
303	2	0
303	3	0
303	4	1
303	5	0
303	6	0
303	7	0
303	8	0
303	9	0
303	10	0
303	11	0
303	12	0
303	13	0
303	14	0
303	15	0
303	16	0
303	17	0
303	18	0
303	19	0
303	20	0
303	21	0
303	22	0
303	23	0
303	24	0
303	25	0
303	26	0
303	27	0
303	28	0
303	29	0
303	30	0
303	31	0
303	32	0
303	33	0
303	34	0
304	0	0
304	1	0
304	2	0
304	3	0
304	4	1
304	5	0
304	6	0
304	7	0
304	8	0
304	9	0
304	10	0
304	11	0
304	12	0
304	13	0
304	14	0
304	15	0
304	16	0
304	17	0
304	18	0
304	19	0
304	20	0
304	21	0
304	22	0
304	23	0
304	24	0
304	25	0
304	26	0
304	27	0
304	28	0
304	29	0
304	30	0
304	31	0
304	32	0
304	33	0
304	34	0
305	0	0
305	1	0
305	2	1
305	3	0
305	4	0
305	5	0
305	6	0
305	7	0
305	8	0
305	9	0
305	10	0
305	11	0
305	12	0
305	13	0
305	14	0
305	15	0
305	16	0
305	17	0
305	18	0
305	19	0
305	20	0
305	21	0
305	22	0
305	23	0
305	24	0
305	25	0
305	26	0
305	27	0
305	28	0
305	29	0
305	30	0
305	31	0
305	32	0
305	33	0
305	34	0
306	0	0
306	1	0
306	2	0
306	3	0
306	4	0
306	5	0
306	6	0
306	7	0
306	8	0
306	9	0
306	10	0
306	11	0
306	12	0
306	13	0
306	14	0
306	15	0
306	16	1
306	17	0
306	18	0
306	19	0
306	20	0
306	21	0
306	22	0
306	23	0
306	24	0
306	25	0
306	26	0
306	27	0
306	28	0
306	29	0
306	30	0
306	31	0
306	32	0
306	33	0
306	34	0
307	0	0
307	1	0
307	2	0
307	3	0
307	4	1
307	5	0
307	6	0
307	7	0
307	8	0
307	9	0
307	10	0
307	11	0
307	12	0
307	13	0
307	14	0
307	15	0
307	16	0
307	17	0
307	18	0
307	19	0
307	20	0
307	21	0
307	22	0
307	23	0
307	24	0
307	25	0
307	26	0
307	27	0
307	28	0
307	29	0
307	30	0
307	31	0
307	32	0
307	33	0
307	34	0
308	0	0
308	1	0
308	2	0
308	3	0
308	4	0
308	5	1
308	6	0
308	7	0
308	8	0
308	9	0
308	10	0
308	11	0
308	12	0
308	13	0
308	14	0
308	15	0
308	16	0
308	17	0
308	18	0
308	19	0
308	20	0
308	21	0
308	22	0
308	23	0
308	24	0
308	25	0
308	26	0
308	27	0
308	28	0
308	29	0
308	30	0
308	31	0
308	32	0
308	33	0
308	34	0
309	0	1
309	1	0
309	2	0
309	3	0
309	4	0
309	5	0
309	6	0
309	7	0
309	8	0
309	9	0
309	10	0
309	11	0
309	12	0
309	13	0
309	14	0
309	15	0
309	16	0
309	17	0
309	18	0
309	19	0
309	20	0
309	21	0
309	22	0
309	23	0
309	24	0
309	25	0
309	26	0
309	27	0
309	28	0
309	29	0
309	30	0
309	31	0
309	32	0
309	33	0
309	34	0
310	0	0
310	1	0
310	2	0
310	3	1
310	4	0
310	5	0
310	6	0
310	7	0
310	8	0
310	9	0
310	10	0
310	11	0
310	12	0
310	13	0
310	14	0
310	15	0
310	16	0
310	17	0
310	18	0
310	19	0
310	20	0
310	21	0
310	22	0
310	23	0
310	24	0
310	25	0
310	26	0
310	27	0
310	28	0
310	29	0
310	30	0
310	31	0
310	32	0
310	33	0
310	34	0
401	0	0
401	1	0
401	2	0
401	3	0
401	4	0
401	5	0
401	6	0
401	7	0
401	8	0
401	9	0
401	10	0
401	11	1
401	12	0
401	13	0
401	14	0
401	15	0
401	16	0
401	17	0
401	18	0
401	19	0
401	20	0
401	21	0
401	22	0
401	23	0
401	24	0
401	25	0
401	26	0
401	27	0
401	28	0
401	29	0
401	30	0
401	31	0
401	32	0
401	33	0
401	34	0
402	0	0
402	1	0
402	2	0
402	3	1
402	4	0
402	5	0
402	6	0
402	7	0
402	8	0
402	9	0
402	10	0
402	11	0
402	12	0
402	13	0
402	14	0
402	15	0
402	16	0
402	17	0
402	18	0
402	19	0
402	20	0
402	21	0
402	22	0
402	23	0
402	24	0
402	25	0
402	26	0
402	27	0
402	28	0
402	29	0
402	30	0
402	31	0
402	32	0
402	33	0
402	34	0
403	0	0
