ampl.tab 2 1
Settlements	DistrictCourts	D
1931	0	0
1931	101	0
1931	102	0
1931	103	0
1931	104	0
1931	105	0
1931	106	0
1931	107	0
1931	108	0
1931	109	0
1931	110	0
1931	111	0
1931	112	0
1931	113	0
1931	114	0
1931	115	0
1931	201	0
1931	202	0
1931	203	0
1931	204	0
1931	205	0
1931	206	0
1931	207	0
1931	301	0
1931	302	0
1931	303	0
1931	304	0
1931	305	0
1931	306	0
1931	307	0
1931	308	0
1931	309	0
1931	310	0
1931	401	0
1931	402	0
1931	403	0
1931	404	0
1931	405	0
1931	406	0
1931	407	0
1931	408	0
1931	409	0
1931	501	0
1931	502	0
1931	503	0
1931	504	0
1931	505	0
1931	506	0
1931	507	0
1931	601	0
1931	602	0
1931	603	0
1931	604	0
1931	605	0
1931	606	0
1931	607	0
1931	608	0
1931	609	0
1931	610	0
1931	611	0
1931	612	0
1931	613	0
1931	614	0
1931	615	0
1931	616	0
1931	617	0
1931	618	0
1931	619	0
1931	620	0
1931	621	0
1931	622	0
1931	701	0
1931	702	0
1931	703	0
1931	704	0
1931	705	0
1931	801	0
1931	802	0
1931	803	0
1931	804	0
1931	805	0
1931	806	0
1931	807	0
1931	901	0
1931	902	0
1931	903	0
1931	904	0
1931	905	0
1931	906	0
1931	907	0
1931	908	0
1931	909	0
1931	910	0
1931	911	0
1931	912	0
1931	913	0
1931	914	0
1931	915	0
1931	1001	0
1931	1002	0
1931	1003	0
1931	1004	0
1931	1005	0
1931	1006	0
1931	1007	0
1931	1101	0
1931	1102	0
1931	1103	0
1931	1104	0
1931	1105	0
1931	1106	0
1931	1107	0
1931	1108	0
1931	1109	0
1931	1110	0
1931	1111	0
1931	1112	0
1931	1113	0
1931	1114	0
1931	1115	0
1931	1116	0
1931	1117	0
1931	1118	0
1931	1119	0
1931	1201	0
1931	1202	0
1931	1203	0
1931	1204	0
1931	1205	0
1931	1206	0
1931	1207	0
1931	1208	0
1931	1209	0
1931	1210	0
1931	1211	0
1931	1301	0
1931	1302	0
1931	1303	0
1931	1304	0
1931	1305	0
1931	1306	0
1931	1307	0
1931	1308	0
1931	1309	0
1931	1310	0
1931	1311	0
1931	1312	0
1931	1313	0
1931	1314	0
1931	1315	0
1931	1401	0
1931	1402	0
1931	1403	0
1931	1404	0
1931	1405	0
1931	1406	0
1931	1407	0
1931	1408	0
1931	1501	0
1931	1502	0
1931	1503	0
1931	1504	0
1931	1505	0
1931	1506	0
1931	1507	0
1931	1508	0
1931	1509	0
1931	1510	0
1931	1511	0
1931	1512	0
1931	1513	0
1931	1514	0
1931	1515	0
1931	1516	0
1931	1517	0
1931	1518	0
1931	1519	0
1931	1520	0
1931	1521	0
1931	1522	0
1931	1523	0
1931	1524	0
1931	1525	0
1931	1526	0
1931	1527	0
1931	1528	0
1931	1601	0
1931	1602	0
1931	1603	0
1931	1604	0
1931	1605	0
1931	1606	0
1931	1607	0
1931	1608	0
1931	1609	0
1931	1610	0
1931	1611	0
1931	1612	0
1931	1613	0
1931	1614	0
1931	1615	0
1931	1616	0
1931	1617	0
1931	1701	0
1931	1702	0
1931	1703	0
1931	1704	0
1931	1705	0
1931	1706	0
1931	1707	0
1931	1801	0
1931	1802	0
1931	1803	0
1931	1804	0
1931	1805	0
1931	1806	0
1931	1807	0
1931	1808	0
1931	1809	0
1931	1810	0
1931	1812	0
1931	1813	0
1931	1814	0
1931	1815	0
1931	1816	0
1931	1901	0
1931	1902	0
1931	1903	0
1931	1904	0
1931	1905	0
1931	1906	0
1931	1907	0
1931	2001	0
1931	2002	0
1931	2003	0
1931	2004	0
1931	2005	0
1931	2006	0
1931	2007	0
1931	2101	0
1931	2102	0
1931	2103	0
1931	2104	0
1931	2105	0
1931	2106	0
1931	2107	0
1931	2108	0
1931	2109	0
1931	2110	0
1931	2201	0
1931	2202	0
1931	2203	0
1931	2204	0
1931	2205	0
1931	2206	0
1931	2207	0
1931	2208	0
1931	2209	0
1931	2301	0
1931	2302	0
1931	2303	0
1931	2304	0
1931	2305	0
1931	2401	0
1931	2402	0
1931	2403	0
1931	2404	0
1931	2405	0
1931	2406	0
1931	2407	0
1931	2408	0
1931	2409	0
1931	2410	0
1931	2411	0
1931	2501	0
1931	2502	0
1931	2503	0
1931	2504	0
1931	2505	0
1931	2506	0
1931	2507	0
1931	2508	0
1931	2509	0
1931	2510	0
1931	2511	0
1931	2512	0
1931	2513	0
1931	2514	0
1931	2515	0
1931	2516	0
1931	2517	0
1931	2518	0
1931	2519	0
1931	2601	0
1931	2602	0
1931	2603	0
1931	2604	0
1931	2605	0
1931	2606	0
1931	2607	0
1931	2608	0
1931	2609	0
1931	2610	0
1931	2611	0
1931	2612	0
1931	2613	0
1931	2701	0
1931	2702	0
1931	2703	0
1931	2704	0
1931	2705	0
1931	2706	0
1931	2707	0
1931	2708	0
1931	2709	0
1931	2710	0
1931	2711	0
1931	2801	0
1931	2802	0
1931	2803	0
1931	2804	0
1931	2805	0
1931	2806	0
1931	2807	0
1931	2808	0
1931	2809	0
1931	2810	0
1931	2811	0
1931	2812	0
1931	2813	0
1931	2814	0
1931	2901	0
1931	2902	0
1931	2903	0
1931	2904	0
1931	2905	0
1931	2906	0
1931	2907	0
1931	3001	0
1931	3002	0
1931	3003	0
1931	3004	0
1931	3005	0
1931	3006	0
1931	3007	0
1931	3008	0
1931	3009	0
1931	3010	0
1931	3011	0
1931	3012	0
1931	3013	0
1931	3014	0
1931	3015	0
1931	3016	0
1931	3101	0
1931	3102	0
1931	3103	0
1931	3104	0
1931	3105	0
1931	3106	0
1931	3107	0
1931	3108	0
1931	3109	0
1931	3110	0
1931	3111	0
1931	3201	1
1931	3202	0
1931	3203	0
1931	3204	0
1931	3205	0
1931	3206	0
1931	3207	0
1931	3208	0
1931	3209	0
1931	3210	0
