OBJECTID;SOURCE;VIL_UID;CENTER;CNTR_CODE;AFG_UID;POPULATION;LANGUAGE_;LANG_CODE;ELEVATION;LAT_Y;LON_X;MISTI_PROV;MISTI_DIST;VILLAGE_NA;DIST_CODE;DIST_NA_EN;DIST_NA_DA;PROV_NA_EN;PROV_NA_DA;PROV_CODE
1931;Yale POP_MASTER;MAR-167;District;1;HLM-MAR-167;67414;Pashto;2;772.324585;31.5136;64.1159;HLM;MAR;Marjeh;3203;Nad-e-Ali;??????;Hilmand;?????;32
4187;Yale POP_MASTER;FRH-133;Provincial;2;FAR-FRH-133;30200;Pashto;2;663.9468994;32.3842;62.1227;FAR;FRH;Farah;3101;Farah;????;Farah;????;31
5344;Yale POP_MASTER;LKG-052;NA;0;HLM-LKG-052;24491;Dari;1;789.1331177;31.6217;64.3682;HLM;LKG;Kamp Mahajerin Haji Khan Wali;3201;Lashkargah;???????;Hilmand;?????;32
5358;Yale POP_MASTER;LKG-090;Provincial;2;HLM-LKG-090;35900;Pashto;2;770.960022;31.5818;64.3547;HLM;LKG;Lashkar Gah;3201;Lashkargah;???????;Hilmand;?????;32
6125;Yale POP_MASTER;MRF-327;District;1;KND-MRF-327;35451;Other;9;1738.401001;31.6445;67.1732;KND;MRF;Maruf;3316;Maruf;?????;Kandahar;??????;33
6993;Yale POP_MASTER;GHN-079;District;1;HRT-GHN-079;28300;Pashto;2;795.7443848;34.3449;61.4941;HRT;GHN;Ghoryan;3009;Ghoryan;??????;Hirat;????;30
7386;Yale POP_MASTER;AG1-066;District;1;KND-AG1-066;42146;Pashto;2;998.4290771;31.6552;65.6495;KND;AG1;Arghandab (1);3302;Arghandab;???????;Kandahar;??????;33
7837;Yale POP_MASTER;PJW-065;NA;0;KND-PJW-065;30527;Pashto;2;895.8989868;31.4776;65.2756;KND;PJW;Kamp Mahjeren;3304;Panjwayi;???????;Kandahar;??????;33
9181;Yale POP_MASTER;DND-051;Provincial;2;KND-DND-051;324800;Pashto;2;1015.859985;31.6218;65.701;KND;DND;Kandahar;3301;Kandahar;??????;Kandahar;??????;33
10123;Yale POP_MASTER;ANY-018;District;1;FYB-ANY-018;26700;Uzbek;3;308.2598877;36.9431;65.1275;FYB;ANY;Andkhoy (2);2811;Andkhoy;??????;Faryab;??????;28
