,OBJECTID,POPULATION,LANG_CODE,LON_X,LAT_Y
34935,34936,638,3,70.3621,37.105
1409,1410,508,1,61.9659,34.5598
40410,40411,712,2,61.7163,35.0748
40617,40618,615,1,70.8918,36.9039
37267,37268,1034,1,70.2292,36.8247
2388,2389,1104,2,64.0947,31.4064
6308,6309,645,1,62.0695,33.6813
41396,41397,3138,1,69.1339,36.0639
10204,10205,1198,3,65.7401,36.6884
5650,5651,835,2,64.7866,32.9803
36733,36734,844,1,70.7764,36.9192
23563,23564,756,2,70.0796,33.4527
22328,22329,912,2,68.9643,32.2033
20092,20093,914,3,66.282,36.1081
21366,21367,824,1,66.5319,36.349000000000004
39363,39364,622,2,69.2187,34.3509
22417,22418,2250,2,69.2644,32.6758
21194,21195,1142,1,66.0237,36.1449
18784,18785,658,2,68.28699999999999,33.2617
7765,7766,1649,2,65.45976,31.553759999999997
8513,8514,804,2,66.4373,31.2021
23095,23096,557,2,69.8295,33.3396
41285,41286,575,1,70.1062,36.3514
8079,8080,591,2,62.2753,33.2919
25074,25075,1239,6,70.6341,34.7241
41054,41055,570,1,69.3758,35.1961
35334,35335,824,3,70.3797,37.2354
5241,5242,1563,2,64.0226,32.3331
7231,7232,1167,2,63.813,35.7477
18690,18691,11175,2,68.4411,33.3239
42096,42097,570,5,61.9072,35.0009
32817,32818,865,1,67.8454,34.8249
7834,7835,1840,2,65.3147,31.4428
37018,37019,586,1,70.4872,37.0592
21601,21602,586,1,66.2337,35.8284
8488,8489,568,2,66.4901,31.1772
2849,2850,1507,2,64.804,32.0119
44434,44435,892,2,69.6644,34.7542
22840,22841,2559,3,69.3703,33.153
14376,14377,735,2,65.8057,32.5288
4556,4557,1202,2,64.5061,31.781999999999996
20746,20747,529,1,65.0191,35.4436
29212,29213,1194,2,70.8755,34.9689
2363,2364,2209,2,64.2272,31.1023
21813,21814,687,2,67.9665,32.607
2902,2903,961,2,64.8241,32.0236
19485,19486,637,2,67.4862,32.8788
22802,22803,1585,2,69.3663,32.9687
40591,40592,874,1,70.903,36.9112
4340,4341,1249,2,63.0334,32.0742
7002,7003,707,2,63.0459,35.2954
29071,29072,879,2,70.9322,34.7015
14764,14765,618,1,65.4324,33.1721
7095,7096,780,2,63.5177,35.7455
23509,23510,783,2,70.0591,33.428000000000004
1309,1310,900,2,63.1395,32.1874
5073,5074,741,1,62.2425,34.8864
31289,31290,1118,2,68.8955,36.7082
2170,2171,825,2,64.2755,31.6283
13609,13610,599,2,63.7658,35.5704
35103,35104,853,3,69.2419,36.342
36850,36851,792,2,69.0853,34.83
27863,27864,1179,2,70.4162,34.4525
27971,27972,1312,2,70.7152,34.3451
17382,17383,563,1,64.7024,33.6323
28561,28562,623,2,70.27043,34.71439
28472,28473,1015,2,70.8603,34.2469
2576,2577,739,2,64.5952,31.8179
13606,13607,765,1,67.0125,33.7722
30113,30114,916,3,69.2924,37.0651
30155,30156,9615,2,69.2987,37.0713
35046,35047,825,3,69.9954,36.7936
8002,8003,653,2,65.3771,31.5272
30295,30296,809,3,69.4439,37.1653
40037,40038,1059,1,69.5705,36.7065
34316,34317,546,1,70.1414,37.4598
20284,20285,930,2,66.9115,36.7659
39725,39726,5012,2,69.1583,34.7789
14721,14722,758,2,65.5625,33.1253
12107,12108,691,1,64.1462,35.5755
22424,22425,809,2,69.2527,32.5275
